Date,Cu,Au,Oil,,
1/1/1960,715.4,35.27,1.630000114,,
2/1/1960,728.19,35.27,1.630000114,,
3/1/1960,684.94,35.27,1.630000114,,
4/1/1960,723.11,35.27,1.630000114,,
5/1/1960,684.75,35.27,1.630000114,,
6/1/1960,691.59,35.27,1.630000114,,
7/1/1960,702.39,35.27,1.630000114,,
8/1/1960,675.94,35.27,1.630000114,,
9/1/1960,647.06,35.27,1.630000114,,
10/1/1960,612.66,35.27,1.630000114,,
11/1/1960,642.13,35.27,1.630000114,,
12/1/1960,636.91,35.27,1.630000114,,
1/1/1961,606.71,35.25,1.57,,
2/1/1961,616.63,35.25,1.57,,
3/1/1961,621.26,35.25,1.57,,
4/1/1961,631.84,35.25,1.57,,
5/1/1961,668.44,35.25,1.57,,
6/1/1961,652.12,35.25,1.57,,
7/1/1961,633.39,35.25,1.57,,
8/1/1961,636.47,35.25,1.57,,
9/1/1961,632.72,35.25,1.57,,
10/1/1961,630.3,35.25,1.57,,
11/1/1961,632.28,35.25,1.57,,
12/1/1961,634.85,35.25,1.57,,
1/1/1962,635.37,35.23,1.52,,
2/1/1962,647.94,35.23,1.52,,
3/1/1962,647.5,35.23,1.52,,
4/1/1962,645.95,35.23,1.52,,
5/1/1962,645.73,35.23,1.52,,
6/1/1962,645.51,35.23,1.52,,
7/1/1962,645.51,35.23,1.52,,
8/1/1962,645.51,35.23,1.52,,
9/1/1962,645.51,35.23,1.52,,
10/1/1962,645.95,35.23,1.52,,
11/1/1962,645.51,35.23,1.52,,
12/1/1962,645.73,35.23,1.52,,
1/1/1963,645.51,35.09,1.5,,
2/1/1963,645.51,35.09,1.5,,
3/1/1963,645.51,35.09,1.5,,
4/1/1963,645.73,35.09,1.5,,
5/1/1963,645.51,35.09,1.5,,
6/1/1963,645.73,35.09,1.5,,
7/1/1963,645.51,35.09,1.5,,
8/1/1963,645.51,35.09,1.5,,
9/1/1963,645.51,35.09,1.5,,
10/1/1963,645.51,35.09,1.5,,
11/1/1963,645.73,35.09,1.5,,
12/1/1963,650.14,35.09,1.5,,
1/1/1964,655.65,35.1,1.45,,
